𝠃𝤐𝤎񅳁𝣼𝣿	¿a
𝠀񀀡񂌱񆅩񆿅񋾡𝠃𝤘𝥜񀀡𝤄𝤎񋾡𝣴𝣵񆅩𝣲𝥍񂌱𝣵𝤹񆿅𝤊𝤲	¿pledge
𝠀񀀡񂤁񀭡񀀡𝠃𝤱𝤕񀀡𝣛𝣷񂤁𝣯𝤁񀭡𝤄𝣷񀀡𝤢𝣷		¿131
𝠀񀀡񂤁񀭡񀀡𝠃𝤱𝤕񀀡𝣛𝣷񂤁𝣯𝤁񀭡𝤄𝣷񀀡𝤢𝣷		¿one hundred thirty one
𝠀񀀡񂤁񀭡񀀡𝠃𝤱𝤕񀀡𝣛𝣷񂤁𝣯𝤁񀭡𝤄𝣷񀀡𝤢𝣷		¿one-hundred-thirty-one
𝠀񀀡񂤁񀭡񄵡𝠃𝤴𝤖񀀡𝣙𝣷񂤁𝣭𝤁񀭡𝤂𝣷񄵡𝤞𝣸	¿139
𝠀񀀡񂤁񀭡񄵡𝠃𝤴𝤖񀀡𝣙𝣷񂤁𝣭𝤁񀭡𝤂𝣷񄵡𝤞𝣸	¿one hundred thirty nine
𝠀񀀡񂤁񀭡񄵡𝠃𝤴𝤖񀀡𝣙𝣷񂤁𝣭𝤁񀭡𝤂𝣷񄵡𝤞𝣸	¿one-hundred-thirty-nine
𝠀񀀡񂤁񁦡񂱡𝠃𝤭𝤖񀀡𝣟𝣷񂤁𝣳𝤁񁦡𝤇𝣶񂱡𝤝𝤆		¿140
𝠀񀀡񂤁񁦡񂱡𝠃𝤭𝤖񀀡𝣟𝣷񂤁𝣳𝤁񁦡𝤇𝣶񂱡𝤝𝤆		¿one hundred forty
𝠀񀀡񂤁񁦡񂱡𝠃𝤭𝤖񀀡𝣟𝣷񂤁𝣳𝤁񁦡𝤇𝣶񂱡𝤝𝤆		¿one-hundred-forty
𝠀񀀡񂤁񁲡񀀡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񁲡𝤆𝣶񀀡𝤡𝣸		¿151
𝠀񀀡񂤁񁲡񀀡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񁲡𝤆𝣶񀀡𝤡𝣸		¿one hundred fifty one
𝠀񀀡񂤁񁲡񀀡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񁲡𝤆𝣶񀀡𝤡𝣸		¿one-hundred-fifty-one
𝠀񀀡񂤁𝠃𝤙𝤕񂤁𝤈𝤁񀀡𝣳𝣷	¿100
𝠀񀀡񂤁𝠃𝤙𝤕񂤁𝤈𝤁񀀡𝣳𝣷	¿one hundred
𝠀񀀡񂤁𝠃𝤙𝤕񂤁𝤈𝤁񀀡𝣳𝣷	¿one-hundred
𝠀񀀡񂤁𝠃𝤙𝤕񂤁𝤈𝤁񀀡𝣳𝣷	¿hundred
𝠀񀀡񂤁񀭡񀕡𝠃𝤱𝤕񀀡𝣛𝣷񂤁𝣯𝤁񀭡𝤄𝣷񀕡𝤢𝣷		¿132
𝠀񀀡񂤁񀭡񀕡𝠃𝤱𝤕񀀡𝣛𝣷񂤁𝣯𝤁񀭡𝤄𝣷񀕡𝤢𝣷		¿one hundred thirty two
𝠀񀀡񂤁񀭡񀕡𝠃𝤱𝤕񀀡𝣛𝣷񂤁𝣯𝤁񀭡𝤄𝣷񀕡𝤢𝣷		¿one-hundred-thirty-two
𝠀񀀡񂤁񀮑񈙇񇆥𝠃𝤲𝤡񀀡𝣚𝣫񂤁𝣮𝣵񀮑𝤃		¿133
𝠀񀀡񂤁񀮑񈙇񇆥𝠃𝤲𝤡񀀡𝣚𝣫񂤁𝣮𝣵񀮑𝤃		¿one hundred thirty three
𝠀񀀡񂤁񀮑񈙇񇆥𝠃𝤲𝤡񀀡𝣚𝣫񂤁𝣮𝣵񀮑𝤃		¿one-hundred-thirty-three
𝠀񀀡񂤁񁦡񃋁𝠃𝤯𝤖񀀡𝣞𝣷񂤁𝣲𝤁񁦡𝤆𝣶񃋁𝤝𝣹	¿146
𝠀񀀡񂤁񁦡񃋁𝠃𝤯𝤖񀀡𝣞𝣷񂤁𝣲𝤁񁦡𝤆𝣶񃋁𝤝𝣹	¿one hundred forty six
𝠀񀀡񂤁񁦡񃋁𝠃𝤯𝤖񀀡𝣞𝣷񂤁𝣲𝤁񁦡𝤆𝣶񃋁𝤝𝣹	¿one-hundred-forty-six
𝠀񀀡񂤁񁲡񀕡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񁲡𝤆𝣶񀕡𝤡𝣸		¿152
𝠀񀀡񂤁񁲡񀕡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񁲡𝤆𝣶񀕡𝤡𝣸		¿one hundred fifty two
𝠀񀀡񂤁񁲡񀕡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񁲡𝤆𝣶񀕡𝤡𝣸		¿one-hundred-fifty-two
𝠀񀀡񂤁񀀁񆫡𝠃𝤧𝤚񀀡𝣥𝣼񂤁𝣹𝤆񀀁𝤐𝣼񆫡𝤕𝣳		¿111
𝠀񀀡񂤁񀀁񆫡𝠃𝤧𝤚񀀡𝣥𝣼񂤁𝣹𝤆񀀁𝤐𝣼񆫡𝤕𝣳		¿one hundred eleven
𝠀񀀡񂤁񀀁񆫡𝠃𝤧𝤚񀀡𝣥𝣼񂤁𝣹𝤆񀀁𝤐𝣼񆫡𝤕𝣳		¿one-hundred-eleven
𝠀񀀡񂤁񀭡񀾁𝠃𝤳𝤕񀀡𝣙𝣷񂤁𝣭𝤁񀭡𝤂𝣷񀾁𝤛𝣿	¿130
𝠀񀀡񂤁񀭡񀾁𝠃𝤳𝤕񀀡𝣙𝣷񂤁𝣭𝤁񀭡𝤂𝣷񀾁𝤛𝣿	¿one hundred thirty
𝠀񀀡񂤁񀭡񀾁𝠃𝤳𝤕񀀡𝣙𝣷񂤁𝣭𝤁񀭡𝤂𝣷񀾁𝤛𝣿	¿one-hundred-thirty
𝠀񀀡񂤁񁃡񆱵𝠃𝤧𝤙񀀡𝣥𝣻񂤁𝣹𝤅񁃡𝤐𝣻񆱵𝤍𝣳	¿113
𝠀񀀡񂤁񁃡񆱵𝠃𝤧𝤙񀀡𝣥𝣻񂤁𝣹𝤅񁃡𝤐𝣻񆱵𝤍𝣳	¿one hundred thirteen
𝠀񀀡񂤁񁃡񆱵𝠃𝤧𝤙񀀡𝣥𝣻񂤁𝣹𝤅񁃡𝤐𝣻񆱵𝤍𝣳	¿one-hundred-thirteen
𝠀񀀡񂤁񁦡񃸁𝠃𝤱𝤖񀀡𝣛𝣷񂤁𝣯𝤁񁦡𝤃𝣶񃸁𝤜𝣺	¿147
𝠀񀀡񂤁񁦡񃸁𝠃𝤱𝤖񀀡𝣛𝣷񂤁𝣯𝤁񁦡𝤃𝣶񃸁𝤜𝣺	¿one hundred forty seven
𝠀񀀡񂤁񁦡񃸁𝠃𝤱𝤖񀀡𝣛𝣷񂤁𝣯𝤁񁦡𝤃𝣶񃸁𝤜𝣺	¿one-hundred-forty-seven
𝠀񀀡񂤁񁲡񀭡𝠃𝤱𝤖񀀡𝣛𝣸񂤁𝣯𝤂񁲡𝤄𝣷񀭡𝤚𝣸	¿153
𝠀񀀡񂤁񁲡񀭡𝠃𝤱𝤖񀀡𝣛𝣸񂤁𝣯𝤂񁲡𝤄𝣷񀭡𝤚𝣸	¿one hundred fifty three
𝠀񀀡񂤁񁲡񀭡𝠃𝤱𝤖񀀡𝣛𝣸񂤁𝣯𝤂񁲡𝤄𝣷񀭡𝤚𝣸	¿one-hundred-fifty-three
𝠀񀀡񂤁񀀡𝠃𝤣𝤕񀀡𝣩𝣷񂤁𝣽𝤁񀀡𝤔𝣷	¿101
𝠀񀀡񂤁񀀡𝠃𝤣𝤕񀀡𝣩𝣷񂤁𝣽𝤁񀀡𝤔𝣷	¿one hundred one
𝠀񀀡񂤁񀀡𝠃𝤣𝤕񀀡𝣩𝣷񂤁𝣽𝤁񀀡𝤔𝣷	¿one-hundred-one
𝠀񀀡񂤁񀭡񁦡𝠃𝤴𝤖񀀡𝣙𝣸񂤁𝣭𝤂񀭡𝤂𝣸񁦡𝤞𝣷	¿134
𝠀񀀡񂤁񀭡񁦡𝠃𝤴𝤖񀀡𝣙𝣸񂤁𝣭𝤂񀭡𝤂𝣸񁦡𝤞𝣷	¿one hundred thirty four
𝠀񀀡񂤁񀭡񁦡𝠃𝤴𝤖񀀡𝣙𝣸񂤁𝣭𝤂񀭡𝤂𝣸񁦡𝤞𝣷	¿one-hundred-thirty-four
𝠀񀀡񂤁񁦡𝠃𝤦𝤖񀀡𝣧𝣸񂤁𝣻𝤂񁦡𝤐𝣷	¿104
𝠀񀀡񂤁񁦡𝠃𝤦𝤖񀀡𝣧𝣸񂤁𝣻𝤂񁦡𝤐𝣷	¿one hundred four
𝠀񀀡񂤁񁦡𝠃𝤦𝤖񀀡𝣧𝣸񂤁𝣻𝤂񁦡𝤐𝣷	¿one-hundred-four
𝠀񀀡񂤁񁦡񄙁𝠃𝤲𝤖񀀡𝣛𝣷񂤁𝣯𝤁񁦡𝤃𝣶񄙁𝤝𝣺	¿148
𝠀񀀡񂤁񁦡񄙁𝠃𝤲𝤖񀀡𝣛𝣷񂤁𝣯𝤁񁦡𝤃𝣶񄙁𝤝𝣺	¿one hundred forty eight
𝠀񀀡񂤁񁦡񄙁𝠃𝤲𝤖񀀡𝣛𝣷񂤁𝣯𝤁񁦡𝤃𝣶񄙁𝤝𝣺	¿one-hundred-forty-eight
𝠀񀀡񂤁񁲡񁦡𝠃𝤲𝤖񀀡𝣚𝣸񂤁𝣮𝤂񁲡𝤃𝣷񁦡𝤜𝣷	¿154
𝠀񀀡񂤁񁲡񁦡𝠃𝤲𝤖񀀡𝣚𝣸񂤁𝣮𝤂񁲡𝤃𝣷񁦡𝤜𝣷	¿one hundred fifty four
𝠀񀀡񂤁񁲡񁦡𝠃𝤲𝤖񀀡𝣚𝣸񂤁𝣮𝤂񁲡𝤃𝣷񁦡𝤜𝣷	¿one-hundred-fifty-four
𝠀񀀡񂤁񀕁񆫡𝠃𝤤𝤚񀀡𝣨𝣼񂤁𝣼𝤆񀕁𝤒𝣼񆫡𝤒𝣲		¿112
𝠀񀀡񂤁񀕁񆫡𝠃𝤤𝤚񀀡𝣨𝣼񂤁𝣼𝤆񀕁𝤒𝣼񆫡𝤒𝣲		¿one hundred twelve
𝠀񀀡񂤁񀕁񆫡𝠃𝤤𝤚񀀡𝣨𝣼񂤁𝣼𝤆񀕁𝤒𝣼񆫡𝤒𝣲		¿one-hundred-twelve
𝠀񀀡񂤁񀭡񁲡𝠃𝤴𝤖񀀡𝣘𝣷񂤁𝣬𝤁񀭡𝤁𝣷񁲡𝤝𝣷	¿135
𝠀񀀡񂤁񀭡񁲡𝠃𝤴𝤖񀀡𝣘𝣷񂤁𝣬𝤁񀭡𝤁𝣷񁲡𝤝𝣷	¿one hundred thirty five
𝠀񀀡񂤁񀭡񁲡𝠃𝤴𝤖񀀡𝣘𝣷񂤁𝣬𝤁񀭡𝤁𝣷񁲡𝤝𝣷	¿one-hundred-thirty-five
𝠀񀀡񂤁񁦡񀀡𝠃𝤯𝤖񀀡𝣝𝣷񂤁𝣱𝤁񁦡𝤅𝣶񀀡𝤠𝣸		¿141
𝠀񀀡񂤁񁦡񀀡𝠃𝤯𝤖񀀡𝣝𝣷񂤁𝣱𝤁񁦡𝤅𝣶񀀡𝤠𝣸		¿one hundred forty one
𝠀񀀡񂤁񁦡񀀡𝠃𝤯𝤖񀀡𝣝𝣷񂤁𝣱𝤁񁦡𝤅𝣶񀀡𝤠𝣸		¿one-hundred-forty-one
𝠀񀀡񂤁񁦡񄵡𝠃𝤱𝤖񀀡𝣜𝣷񂤁𝣰𝤁񁦡𝤄𝣶񄵡𝤛𝣸	¿149
𝠀񀀡񂤁񁦡񄵡𝠃𝤱𝤖񀀡𝣜𝣷񂤁𝣰𝤁񁦡𝤄𝣶񄵡𝤛𝣸	¿one hundred forty nine
𝠀񀀡񂤁񁦡񄵡𝠃𝤱𝤖񀀡𝣜𝣷񂤁𝣰𝤁񁦡𝤄𝣶񄵡𝤛𝣸	¿one-hundred-forty-nine
𝠀񀀡񂤁񁲡񂱡𝠃𝤯𝤖񀀡𝣞𝣷񂤁𝣲𝤁񁲡𝤇𝣶񂱡𝤟𝤆		¿150
𝠀񀀡񂤁񁲡񂱡𝠃𝤯𝤖񀀡𝣞𝣷񂤁𝣲𝤁񁲡𝤇𝣶񂱡𝤟𝤆		¿one hundred fifty
𝠀񀀡񂤁񁲡񂱡𝠃𝤯𝤖񀀡𝣞𝣷񂤁𝣲𝤁񁲡𝤇𝣶񂱡𝤟𝤆		¿one-hundred-fifty
𝠀񀀡񂤁񀕡𝠃𝤣𝤕񀀡𝣪𝣷񂤁𝣾𝤁񀕡𝤔𝣷	¿102
𝠀񀀡񂤁񀕡𝠃𝤣𝤕񀀡𝣪𝣷񂤁𝣾𝤁񀕡𝤔𝣷	¿one hundred two
𝠀񀀡񂤁񀕡𝠃𝤣𝤕񀀡𝣪𝣷񂤁𝣾𝤁񀕡𝤔𝣷	¿one-hundred-two
𝠀񀀡񂤁񀭡񃋁𝠃𝤲𝤖񀀡𝣛𝣷񂤁𝣯𝤁񀭡𝤄𝣷񃋁𝤠𝣹	¿136
𝠀񀀡񂤁񀭡񃋁𝠃𝤲𝤖񀀡𝣛𝣷񂤁𝣯𝤁񀭡𝤄𝣷񃋁𝤠𝣹	¿one hundred thirty six
𝠀񀀡񂤁񀭡񃋁𝠃𝤲𝤖񀀡𝣛𝣷񂤁𝣯𝤁񀭡𝤄𝣷񃋁𝤠𝣹	¿one-hundred-thirty-six
𝠀񀀡񂤁񁦡񀕡𝠃𝤮𝤖񀀡𝣞𝣸񂤁𝣲𝤂񁦡𝤆𝣷񀕡𝤟𝣸		¿142
𝠀񀀡񂤁񁦡񀕡𝠃𝤮𝤖񀀡𝣞𝣸񂤁𝣲𝤂񁦡𝤆𝣷񀕡𝤟𝣸		¿one hundred forty two
𝠀񀀡񂤁񁦡񀕡𝠃𝤮𝤖񀀡𝣞𝣸񂤁𝣲𝤂񁦡𝤆𝣷񀕡𝤟𝣸		¿one-hundred-forty-two
𝠀񀀡񂤁񁧑񈙇񇆥𝠃𝤮𝤡񀀡𝣟𝣬񂤁𝣳𝣶񁧑𝤇𝣫񈙇𝤐𝤆񇆥𝤈𝤓	¿144
𝠀񀀡񂤁񁧑񈙇񇆥𝠃𝤮𝤡񀀡𝣟𝣬񂤁𝣳𝣶񁧑𝤇𝣫񈙇𝤐𝤆񇆥𝤈𝤓	¿one hundred forty four
𝠀񀀡񂤁񁧑񈙇񇆥𝠃𝤮𝤡񀀡𝣟𝣬񂤁𝣳𝣶񁧑𝤇𝣫񈙇𝤐𝤆񇆥𝤈𝤓	¿one-hundred-forty-four
𝠀񀀡񂤁񁲡񃋁𝠃𝤰𝤖񀀡𝣜𝣷񂤁𝣰𝤁񁲡𝤅𝣶񃋁𝤞𝣹	¿156
𝠀񀀡񂤁񁲡񃋁𝠃𝤰𝤖񀀡𝣜𝣷񂤁𝣰𝤁񁲡𝤅𝣶񃋁𝤞𝣹	¿one hundred fifty six
𝠀񀀡񂤁񁲡񃋁𝠃𝤰𝤖񀀡𝣜𝣷񂤁𝣰𝤁񁲡𝤅𝣶񃋁𝤞𝣹	¿one-hundred-fifty-six
𝠀񀀡񂤁񁲡񃸁𝠃𝤲𝤖񀀡𝣚𝣷񂤁𝣮𝤁񁲡𝤃𝣶񃸁𝤝𝣺	¿157
𝠀񀀡񂤁񁲡񃸁𝠃𝤲𝤖񀀡𝣚𝣷񂤁𝣮𝤁񁲡𝤃𝣶񃸁𝤝𝣺	¿one hundred fifty seven
𝠀񀀡񂤁񁲡񃸁𝠃𝤲𝤖񀀡𝣚𝣷񂤁𝣮𝤁񁲡𝤃𝣶񃸁𝤝𝣺	¿one-hundred-fifty-seven
𝠀񀀡񂤁񃋁𝠃𝤥𝤖񀀡𝣨𝣷񂤁𝣼𝤁񃋁𝤓𝣹	¿106
𝠀񀀡񂤁񃋁𝠃𝤥𝤖񀀡𝣨𝣷񂤁𝣼𝤁񃋁𝤓𝣹	¿one hundred six
𝠀񀀡񂤁񃋁𝠃𝤥𝤖񀀡𝣨𝣷񂤁𝣼𝤁񃋁𝤓𝣹	¿one-hundred-six
𝠀񀀡񂤁񃷱񄙁𝠃𝤱𝤖񀀡𝣛𝣷񂤁𝣮𝤁񃷱𝤂𝣺񄙁𝤜𝣺	¿178
𝠀񀀡񂤁񃷱񄙁𝠃𝤱𝤖񀀡𝣛𝣷񂤁𝣮𝤁񃷱𝤂𝣺񄙁𝤜𝣺	¿one hundred seventy eight
𝠀񀀡񂤁񃷱񄙁𝠃𝤱𝤖񀀡𝣛𝣷񂤁𝣮𝤁񃷱𝤂𝣺񄙁𝤜𝣺	¿one-hundred-seventy-eight
𝠀񀀡񂤁񃸁񂱡𝠃𝤮𝤖񀀡𝣟𝣷񂤁𝣳𝤁񃸁𝤉𝣺񂱡𝤞𝤆		¿170
𝠀񀀡񂤁񃸁񂱡𝠃𝤮𝤖񀀡𝣟𝣷񂤁𝣳𝤁񃸁𝤉𝣺񂱡𝤞𝤆		¿one hundred seventy
𝠀񀀡񂤁񃸁񂱡𝠃𝤮𝤖񀀡𝣟𝣷񂤁𝣳𝤁񃸁𝤉𝣺񂱡𝤞𝤆		¿one-hundred-seventy
𝠀񀀡񂤁񅊡񁦡𝠃𝤴𝤖񀀡𝣙𝣸񂤁𝣭𝤂񅊡𝤂𝣸񁦡𝤞𝣷	¿124
𝠀񀀡񂤁񅊡񁦡𝠃𝤴𝤖񀀡𝣙𝣸񂤁𝣭𝤂񅊡𝤂𝣸񁦡𝤞𝣷	¿one hundred twenty four
𝠀񀀡񂤁񅊡񁦡𝠃𝤴𝤖񀀡𝣙𝣸񂤁𝣭𝤂񅊡𝤂𝣸񁦡𝤞𝣷	¿one-hundred-twenty-four
𝠀񀀡񂤁񁲡񄙁𝠃𝤳𝤖񀀡𝣚𝣷񂤁𝣮𝤁񁲡𝤃𝣶񄙁𝤞𝣺	¿158
𝠀񀀡񂤁񁲡񄙁𝠃𝤳𝤖񀀡𝣚𝣷񂤁𝣮𝤁񁲡𝤃𝣶񄙁𝤞𝣺	¿one hundred fifty eight
𝠀񀀡񂤁񁲡񄙁𝠃𝤳𝤖񀀡𝣚𝣷񂤁𝣮𝤁񁲡𝤃𝣶񄙁𝤞𝣺	¿one-hundred-fifty-eight
𝠀񀀡񂤁񃋁񀀡𝠃𝤮𝤖񀀡𝣟𝣷񂤁𝣳𝤁񃋁𝤈𝣹񀀡𝤟𝣷		¿161
𝠀񀀡񂤁񃋁񀀡𝠃𝤮𝤖񀀡𝣟𝣷񂤁𝣳𝤁񃋁𝤈𝣹񀀡𝤟𝣷		¿one hundred sixty one
𝠀񀀡񂤁񃋁񀀡𝠃𝤮𝤖񀀡𝣟𝣷񂤁𝣳𝤁񃋁𝤈𝣹񀀡𝤟𝣷		¿one-hundred-sixty-one
𝠀񀀡񂤁񃷱񄵡𝠃𝤱𝤖񀀡𝣜𝣷񂤁𝣯𝤁񃷱𝤃𝣺񄵡𝤛𝣸	¿179
𝠀񀀡񂤁񃷱񄵡𝠃𝤱𝤖񀀡𝣜𝣷񂤁𝣯𝤁񃷱𝤃𝣺񄵡𝤛𝣸	¿one hundred seventy nine
𝠀񀀡񂤁񃷱񄵡𝠃𝤱𝤖񀀡𝣜𝣷񂤁𝣯𝤁񃷱𝤃𝣺񄵡𝤛𝣸	¿one-hundred-seventy-nine
𝠀񀀡񂤁񃸁񃋁𝠃𝤰𝤕񀀡𝣝𝣷񂤁𝣰𝤁񃸁𝤇𝣹񃋁𝤞𝣸		¿176
𝠀񀀡񂤁񃸁񃋁𝠃𝤰𝤕񀀡𝣝𝣷񂤁𝣰𝤁񃸁𝤇𝣹񃋁𝤞𝣸		¿one hundred seventy six
𝠀񀀡񂤁񃸁񃋁𝠃𝤰𝤕񀀡𝣝𝣷񂤁𝣰𝤁񃸁𝤇𝣹񃋁𝤞𝣸		¿one-hundred-seventy-six
𝠀񀀡񂤁񁲡񄵡𝠃𝤱𝤖񀀡𝣛𝣷񂤁𝣯𝤁񁲡𝤄𝣶񄵡𝤛𝣸	¿159
𝠀񀀡񂤁񁲡񄵡𝠃𝤱𝤖񀀡𝣛𝣷񂤁𝣯𝤁񁲡𝤄𝣶񄵡𝤛𝣸	¿one hundred fifty nine
𝠀񀀡񂤁񁲡񄵡𝠃𝤱𝤖񀀡𝣛𝣷񂤁𝣯𝤁񁲡𝤄𝣶񄵡𝤛𝣸	¿one-hundred-fifty-nine
𝠀񀀡񂤁񃋁񀕡𝠃𝤮𝤖񀀡𝣟𝣷񂤁𝣳𝤁񃋁𝤈𝣹񀕡𝤟𝣷		¿162
𝠀񀀡񂤁񃋁񀕡𝠃𝤮𝤖񀀡𝣟𝣷񂤁𝣳𝤁񃋁𝤈𝣹񀕡𝤟𝣷		¿one hundred sixty two
𝠀񀀡񂤁񃋁񀕡𝠃𝤮𝤖񀀡𝣟𝣷񂤁𝣳𝤁񃋁𝤈𝣹񀕡𝤟𝣷		¿one-hundred-sixty-two
𝠀񀀡񂤁񃸁𝠃𝤧𝤖񀀡𝣥𝣷񂤁𝣹𝤁񃸁𝤒𝣺	¿107
𝠀񀀡񂤁񃸁𝠃𝤧𝤖񀀡𝣥𝣷񂤁𝣹𝤁񃸁𝤒𝣺	¿one hundred seven
𝠀񀀡񂤁񃸁𝠃𝤧𝤖񀀡𝣥𝣷񂤁𝣹𝤁񃸁𝤒𝣺	¿one-hundred-seven
𝠀񀀡񂤁񃸱񈙇񇆥𝠃𝤮𝤡񀀡𝣞𝣬񂤁𝣱𝣶񃸱𝤈𝣮񈙇𝤐𝤆񇆥𝤇𝤓	¿177
𝠀񀀡񂤁񃸱񈙇񇆥𝠃𝤮𝤡񀀡𝣞𝣬񂤁𝣱𝣶񃸱𝤈𝣮񈙇𝤐𝤆񇆥𝤇𝤓	¿one hundred seventy seven
𝠀񀀡񂤁񃸱񈙇񇆥𝠃𝤮𝤡񀀡𝣞𝣬񂤁𝣱𝣶񃸱𝤈𝣮񈙇𝤐𝤆񇆥𝤇𝤓	¿one-hundred-seventy-seven
𝠀񀀡񂤁񅊡񃋁𝠃𝤲𝤖񀀡𝣚𝣷񂤁𝣮𝤁񅊡𝤃𝣷񃋁𝤠𝣹	¿126
𝠀񀀡񂤁񅊡񃋁𝠃𝤲𝤖񀀡𝣚𝣷񂤁𝣮𝤁񅊡𝤃𝣷񃋁𝤠𝣹	¿one hundred twenty six
𝠀񀀡񂤁񅊡񃋁𝠃𝤲𝤖񀀡𝣚𝣷񂤁𝣮𝤁񅊡𝤃𝣷񃋁𝤠𝣹	¿one-hundred-twenty-six
𝠀񀀡񂤁񁳑񈙇񇆥𝠃𝤯𝤡񀀡𝣝𝣬񂤁𝣱𝣶񁳑𝤆𝣫񈙇𝤑𝤇񇆥𝤈𝤓	¿155
𝠀񀀡񂤁񁳑񈙇񇆥𝠃𝤯𝤡񀀡𝣝𝣬񂤁𝣱𝣶񁳑𝤆𝣫񈙇𝤑𝤇񇆥𝤈𝤓	¿one hundred fifty five
𝠀񀀡񂤁񁳑񈙇񇆥𝠃𝤯𝤡񀀡𝣝𝣬񂤁𝣱𝣶񁳑𝤆𝣫񈙇𝤑𝤇񇆥𝤈𝤓	¿one-hundred-fifty-five
𝠀񀀡񂤁񃋁񀭡𝠃𝤰𝤖񀀡𝣜𝣷񂤁𝣰𝤁񃋁𝤅𝣹񀭡𝤙𝣷	¿163
𝠀񀀡񂤁񃋁񀭡𝠃𝤰𝤖񀀡𝣜𝣷񂤁𝣰𝤁񃋁𝤅𝣹񀭡𝤙𝣷	¿one hundred sixty three
𝠀񀀡񂤁񃋁񀭡𝠃𝤰𝤖񀀡𝣜𝣷񂤁𝣰𝤁񃋁𝤅𝣹񀭡𝤙𝣷	¿one-hundred-sixty-three
𝠀񀀡񂤁񃸁񀀡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񃸁𝤇𝣺񀀡𝤡𝣷		¿171
𝠀񀀡񂤁񃸁񀀡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񃸁𝤇𝣺񀀡𝤡𝣷		¿one hundred seventy one
𝠀񀀡񂤁񃸁񀀡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񃸁𝤇𝣺񀀡𝤡𝣷		¿one-hundred-seventy-one
𝠀񀀡񂤁񄙁𝠃𝤧𝤖񀀡𝣦𝣷񂤁𝣺𝤁񄙁𝤒𝣺	¿108
𝠀񀀡񂤁񄙁𝠃𝤧𝤖񀀡𝣦𝣷񂤁𝣺𝤁񄙁𝤒𝣺	¿one hundred eight
𝠀񀀡񂤁񄙁𝠃𝤧𝤖񀀡𝣦𝣷񂤁𝣺𝤁񄙁𝤒𝣺	¿one-hundred-eight
𝠀񀀡񂤁񅊡񃸁𝠃𝤴𝤖񀀡𝣘𝣷񂤁𝣬𝤁񅊡𝤁𝣷񃸁𝤟𝣺	¿127
𝠀񀀡񂤁񅊡񃸁𝠃𝤴𝤖񀀡𝣘𝣷񂤁𝣬𝤁񅊡𝤁𝣷񃸁𝤟𝣺	¿one hundred twenty seven
𝠀񀀡񂤁񅊡񃸁𝠃𝤴𝤖񀀡𝣘𝣷񂤁𝣬𝤁񅊡𝤁𝣷񃸁𝤟𝣺	¿one-hundred-twenty-seven
𝠀񀀡񂤁񂇁񆱵𝠃𝤦𝤗񀀡𝣧𝣹񂤁𝣻𝤃񆱵𝤌𝣵񂇁𝤓𝣼		¿115
𝠀񀀡񂤁񂇁񆱵𝠃𝤦𝤗񀀡𝣧𝣹񂤁𝣻𝤃񆱵𝤌𝣵񂇁𝤓𝣼		¿one hundred fifteen
𝠀񀀡񂤁񂇁񆱵𝠃𝤦𝤗񀀡𝣧𝣹񂤁𝣻𝤃񆱵𝤌𝣵񂇁𝤓𝣼		¿one-hundred-fifteen
𝠀񀀡񂤁񃋁񁦡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񃋁𝤆𝣹񁦡𝤚𝣶	¿164
𝠀񀀡񂤁񃋁񁦡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񃋁𝤆𝣹񁦡𝤚𝣶	¿one hundred sixty four
𝠀񀀡񂤁񃋁񁦡𝠃𝤰𝤖񀀡𝣝𝣷񂤁𝣱𝤁񃋁𝤆𝣹񁦡𝤚𝣶	¿one-hundred-sixty-four
𝠀񀀡񂤁񃸁񀕡𝠃𝤯𝤕񀀡𝣞𝣷񂤁𝣱𝤁񃸁𝤈𝣹񀕡𝤠𝣷		¿172
𝠀񀀡񂤁񃸁񀕡𝠃𝤯𝤕񀀡𝣞𝣷񂤁𝣱𝤁񃸁𝤈𝣹񀕡𝤠𝣷		¿one hundred seventy two
𝠀񀀡񂤁񃸁񀕡𝠃𝤯𝤕񀀡𝣞𝣷񂤁𝣱𝤁񃸁𝤈𝣹񀕡𝤠𝣷		¿one-hundred-seventy-two
𝠀񀀡񂤁񄙁񀀡𝠃𝤮𝤖񀀡𝣞𝣷񂤁𝣱𝤁񄙁𝤇𝣺񀀡𝤟𝣸		¿181
𝠀񀀡񂤁񄙁񀀡𝠃𝤮𝤖񀀡𝣞𝣷񂤁𝣱𝤁񄙁𝤇𝣺񀀡𝤟𝣸		¿one hundred eighty one
𝠀񀀡񂤁񄙁񀀡𝠃𝤮𝤖񀀡𝣞𝣷񂤁𝣱𝤁񄙁𝤇𝣺񀀡𝤟𝣸		¿one-hundred-eighty-one
